"submissionID","submitterID","marker","referenceDB","referenceDB_simplified","pipeline","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other"
"submitter60_16S_16SAllFishDez2023_OBITools","submitter60","16S","16SAllFishDez2023","16SAllFishDez2023","OBITools","fastp","OTU","sequence similarity","ecotag",NA,NA,NA,NA,NA
"submitter17_12S_12SAllFishDez2023_ApscaleModified","submitter17","12S","12SAllFishDez2023","12SAllFishDez2023","ApscaleModified","vsearch","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA
"submitter17_COI_BOLD_ApscaleModified","submitter17","COI","BOLD","BOLD","ApscaleModified","DnoisE","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA
"submitter17_16S_16SAllFishDez2023_ApscaleModified","submitter17","16S","16SAllFishDez2023","16SAllFishDez2023","ApscaleModified","vsearch","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA
"submitter17_12S_12SAllFishDez2023MIDORI2_ApscaleModified","submitter17","12S","12SAllFishDez2023MIDORI2","12SAllFishDez2023MIDORI2","ApscaleModified","vsearch","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA
"submitter32_12S_12SAllFishDez2023_QIIME2v.2023.5","submitter32","12S","12SAllFishDez2023","12SAllFishDez2023","QIIME2v.2023.5","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA
"submitter32_16S_16SAllFishDez2023_QIIME2v.2023.5","submitter32","16S","16SAllFishDez2023","16SAllFishDez2023","QIIME2v.2023.5","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA
"submitter32_COI_COIAllFishDez2023_QIIME2v.2023.5","submitter32","COI","COIAllFishDez2023","COIAllFishDez2023","QIIME2v.2023.5","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA
"submitter29_COI_COIAllFishDez2023_nf-coreAmpliseq","submitter29","COI","COIAllFishDez2023","COIAllFishDez2023","nf-coreAmpliseq","dada2","ASV","sequence similarity","blastn",97,NA,95,NA,NA
"submitter29_12S_12SAllFishDez2023_nf-coreAmpliseq","submitter29","12S","12SAllFishDez2023","16SAllFishDez2023","nf-coreAmpliseq","dada2","ASV","sequence similarity","blastn",97,NA,95,NA,NA
"submitter11_12S_12SAllFishDez2023_MiFish","submitter11","12S","12SAllFishDez2023","12SAllFishDez2023","MiFish","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA
"submitter11_COI_COIMetazoaSep2024_MiFish","submitter11","COI","COIMetazoaSep2024","COIMetazoa","MiFish","other","OTU","sequence similarity","blastn",97,NA,NA,NA,NA
"submitter16_12S_12SAllFishDez2023_DADA2","submitter16","12S","12SAllFishDez2023","12SAllFishDez2023","DADA2","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES"
"submitter16_12S_NCBILCABestHit_DADA2","submitter16","12S","NCBILCABestHit","NCBI","DADA2","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES"
"submitter16_12S_NCBILCA_DADA2","submitter16","12S","NCBILCA","NCBI","DADA2","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES"
"submitter16_16S_16SAllFishDez2023_DADA2","submitter16","16S","16SAllFishDez2023","16SAllFishDez2023","DADA2","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES"
"submitter16_16S_NCBILCABestHit_DADA2","submitter16","16S","NCBILCABestHit","NCBI","DADA2","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES"
"submitter16_16S_NCBILCA_DADA2","submitter16","16S","NCBILCA","NCBI","DADA2","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES"
"submitter16_COI_COIMetazoa_DADA2","submitter16","COI","COIMetazoa","COIMetazoa","DADA2","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES"
"submitter16_COI_NCBILCABestHit_DADA2","submitter16","COI","NCBILCABestHit","NCBI","DADA2","dada2","ASV","sequence similarity","blastn",96,1e-05,50,"LCA","YES"
