"entryID","submissionID","submitterID","marker","referenceDB","pipeline","sampleID","PC1","PC2"
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5_B","ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","B",0.362471474106426,-0.0353481776672868
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5_C","ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","C",0.350506095081364,-0.0318572675034635
"EvanMorien_16S_16SAllFishDez2023_DADA2_A","EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","A",-0.202434070063361,0.142571183977635
"EvanMorien_16S_16SAllFishDez2023_DADA2_B","EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","B",-0.214770989739105,0.0921145916194214
"EvanMorien_16S_16SAllFishDez2023_DADA2_C","EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","C",-0.211108543303627,0.132771684269404
"EvanMorien_16S_NCBILCABestHit_DADA2_A","EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","A",-0.137022355336931,-0.0349651973380555
"EvanMorien_16S_NCBILCABestHit_DADA2_B","EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","B",-0.13929104444009,-0.0756423011894422
"EvanMorien_16S_NCBILCABestHit_DADA2_C","EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","C",-0.151165738518112,-0.0514276701439972
"EvanMorien_16S_NCBILCA_DADA2_A","EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","A",-0.187070302979879,0.0990067281640282
"EvanMorien_16S_NCBILCA_DADA2_B","EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","B",-0.209709405350615,0.056164223332088
"EvanMorien_16S_NCBILCA_DADA2_C","EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","C",-0.188329839486718,0.0905612306626366
"KingslyChuoBeng_16S_16SAllFishDez2023_DADA2_A","KingslyChuoBeng_16S_16SAllFishDez2023_DADA2","KingslyChuoBeng","16S","16SAllFishDez2023","DADA2","A",-0.0398504602446936,-0.486485588078006
"KingslyChuoBeng_16S_16SAllFishDez2023_DADA2_B","KingslyChuoBeng_16S_16SAllFishDez2023_DADA2","KingslyChuoBeng","16S","16SAllFishDez2023","DADA2","B",-0.0457170407141634,-0.484423972870364
"KingslyChuoBeng_16S_16SAllFishDez2023_DADA2_C","KingslyChuoBeng_16S_16SAllFishDez2023_DADA2","KingslyChuoBeng","16S","16SAllFishDez2023","DADA2","C",-0.0519695740568014,-0.480624545291442
"MadsReinholdtJensen_16S_nt_MetaBarFlow_A","MadsReinholdtJensen_16S_nt_MetaBarFlow","MadsReinholdtJensen","16S","nt","MetaBarFlow","A",-0.34431581276241,-0.0435056219252396
